"","Date","MaxTemp.F","MinTemp.F","Prec.In","Snow.In","SnowDepth.In"
"2650",2017-04-03,53,47,"0.12","0.00","0.00"
"2651",2017-04-04,63,44,"0.00","0.00","0.00"
"2652",2017-04-05,56,38,"0.00","0.00","0.00"
"2653",2017-04-06,56,35,"0.00","0.00","0.00"
"2654",2017-04-07,60,33,"0.00","0.00","0.00"
"2655",2017-04-08,73,44,"0.00","0.00","0.00"
"2656",2017-04-09,72,53,"0.02","0.00","0.00"
"2657",2017-04-10,53,33,"0.18","0.50","0.00"
"2658",2017-04-11,53,32,"T","T","1.00"
"2659",2017-04-12,57,40,"0.16","0.00","0.00"
"2660",2017-04-13,55,46,"0.00","0.00","0.00"
"2661",2017-04-14,66,48,"0.30","0.00","0.00"
"2662",2017-04-15,72,52,"1.00","0.00","0.00"
"2663",2017-04-16,66,47,"0.00","0.00","0.00"
"2664",2017-04-17,59,45,"0.00","0.00","0.00"
"2665",2017-04-18,66,48,"0.15","0.00","0.00"
"2666",2017-04-19,51,45,"0.80","0.00","0.00"
"2667",2017-04-20,52,40,"0.15","0.00","0.00"
"2668",2017-04-21,63,37,"0.00","0.00","0.00"
"2669",2017-04-22,69,41,"0.00","0.00","0.00"
"2670",2017-04-23,70,49,"0.00","0.00","0.00"
"2671",2017-04-24,72,49,"0.02","0.00","0.00"
"2672",2017-04-25,62,47,"0.45","0.00","0.00"
"2673",2017-04-26,47,36,"0.38","0.00","0.00"
"2674",2017-04-27,36,32,"0.01","T","0.00"
"2675",2017-04-28,51,35,"0.00","0.00","0.00"
"2676",2017-04-29,56,38,"0.00","0.00","0.00"
"2677",2017-04-30,49,38,"0.71","0.00","0.00"
"2678",2017-05-01,41,35,"0.26","T","0.00"
"2679",2017-05-02,62,38,"0.03","0.00","0.00"
"2680",2017-05-03,66,45,"0.00","0.00","0.00"
"2681",2017-05-04,69,44,"0.00","0.00","0.00"
"2682",2017-05-05,78,46,"0.00","0.00","0.00"
"2683",2017-05-06,69,44,"0.00","0.00","0.00"
"2684",2017-05-07,67,49,"0.00","0.00","0.00"
"2685",2017-05-08,70,46,"0.25","0.00","0.00"
"2686",2017-05-09,71,52,"0.03","0.00","0.00"
"2687",2017-05-10,69,53,"T","0.00","0.00"
"2688",2017-05-11,67,47,"0.00","0.00","0.00"
"2689",2017-05-12,77,46,"0.00","0.00","0.00"
"2690",2017-05-13,80,54,"0.00","0.00","0.00"
"2691",2017-05-14,84,56,"0.00","0.00","0.00"
"2692",2017-05-15,70,60,"0.24","0.00","0.00"
"2693",2017-05-16,84,61,"0.35","0.00","0.00"
"2694",2017-05-17,72,54,"1.81","0.00","0.00"
"2695",2017-05-18,56,47,"0.27","0.00","0.00"
"2696",2017-05-19,57,44,"0.00","0.00","0.00"
"2697",2017-05-20,51,42,"1.47","0.00","0.00"
"2698",2017-05-21,52,46,"0.04","0.00","0.00"
"2699",2017-05-22,67,45,"0.01","0.00","0.00"
"2700",2017-05-23,61,49,"0.01","0.00","0.00"
"2701",2017-05-24,63,46,"0.00","0.00","0.00"
"2702",2017-05-25,71,50,"0.01","0.00","0.00"
"2703",2017-05-26,80,61,"0.00","0.00","0.00"
"2704",2017-05-27,72,55,"T","0.00","0.00"
"2705",2017-05-28,73,56,"0.02","0.00","0.00"
"2706",2017-05-29,65,54,"T","0.00","0.00"
"2707",2017-05-30,60,53,"T","0.00","0.00"
"2708",2017-05-31,75,51,"0.00","0.00","0.00"
"2709",2017-06-01,79,49,"0.00","0.00","0.00"
"2710",2017-06-02,90,58,"T","0.00","0.00"
"2711",2017-06-03,90,68,"0.00","0.00","0.00"
"2712",2017-06-04,90,63,"0.00","0.00","0.00"
"2713",2017-06-05,82,61,"0.00","0.00","0.00"
"2714",2017-06-06,82,58,"0.00","0.00","0.00"
"2715",2017-06-07,88,61,"0.02","0.00","0.00"
"2716",2017-06-08,85,69,"0.00","0.00","0.00"
"2717",2017-06-09,86,63,"0.00","0.00","0.00"
"2718",2017-06-10,96,77,"0.00","0.00","0.00"
"2719",2017-06-11,79,61,"1.82","T","0.00"
"2720",2017-06-12,83,66,"0.20","0.00","0.00"
"2721",2017-06-13,91,66,"0.14","0.00","0.00"
"2722",2017-06-14,85,66,"0.08","0.00","0.00"
"2723",2017-06-15,88,67,"0.00","0.00","0.00"
"2724",2017-06-16,86,65,"T","0.00","0.00"
"2725",2017-06-17,85,63,"0.20","0.00","0.00"
"2726",2017-06-18,73,60,"0.01","0.00","0.00"
"2727",2017-06-19,74,60,"0.00","0.00","0.00"
"2728",2017-06-20,76,59,"0.25","0.00","0.00"
"2729",2017-06-21,81,59,"0.00","0.00","0.00"
"2730",2017-06-22,72,63,"0.49","0.00","0.00"
"2731",2017-06-23,74,58,"0.00","0.00","0.00"
"2732",2017-06-24,66,54,"T","0.00","0.00"
"2733",2017-06-25,69,54,"T","0.00","0.00"
"2734",2017-06-26,73,50,"0.00","0.00","0.00"
"2735",2017-06-27,77,55,"0.00","0.00","0.00"
"2736",2017-06-28,83,61,"0.91","0.00","0.00"
"2737",2017-06-29,77,65,"0.00","0.00","0.00"
"2738",2017-06-30,80,62,"0.11","0.00","0.00"
"2739",2017-07-01,77,61,"0.01","0.00","0.00"
"2740",2017-07-02,80,65,"0.00","0.00","0.00"
"2741",2017-07-03,81,63,"0.00","0.00","0.00"
"2742",2017-07-04,86,67,"0.00","0.00","0.00"
"2743",2017-07-05,92,73,"T","0.00","0.00"
"2744",2017-07-06,94,76,"0.00","0.00","0.00"
"2745",2017-07-07,84,65,"0.00","0.00","0.00"
"2746",2017-07-08,85,62,"0.00","0.00","0.00"
"2747",2017-07-09,85,67,"0.37","0.00","0.00"
"2748",2017-07-10,86,69,"0.00","0.00","0.00"
"2749",2017-07-11,87,65,"0.00","0.00","0.00"
