"","Stationnumber","weekday","Rideoutminusin"
"147","30020","Wed",-0.0344827586206897
"148","30021","Fri",-0.0772946859903382
"149","30021","Mon",0.0380434782608696
"150","30021","Sat",-0.00245098039215686
"151","30021","Sun",0.0599455040871935
"152","30021","Thu",-0.0353260869565217
"153","30021","Tue",0.0196629213483146
"154","30021","Wed",0.1
"155","30022","Fri",0.0588235294117647
"156","30022","Mon",0.109848484848485
"157","30022","Sat",0.201388888888889
"158","30022","Sun",-0.0334448160535117
"159","30022","Thu",0.06
"160","30022","Tue",0.0210970464135021
"161","30022","Wed",0.110204081632653
"162","30023","Fri",-0.0745341614906832
"163","30023","Mon",0.0272108843537415
"164","30023","Sat",0.0166666666666667
"165","30023","Sun",0.117647058823529
"166","30023","Thu",0.0909090909090909
"167","30023","Tue",0.112426035502959
"168","30023","Wed",-0.08125
"169","30024","Fri",0.293666026871401
"170","30024","Mon",0.299595141700405
"171","30024","Sat",0.303769401330377
"172","30024","Sun",0.346153846153846
"173","30024","Thu",0.180232558139535
"174","30024","Tue",0.224032586558045
"175","30024","Wed",0.409001956947162
"176","30025","Fri",-0.138655462184874
"177","30025","Mon",-0.174887892376682
"178","30025","Sat",0.0966666666666667
"179","30025","Sun",-0.0559440559440559
"180","30025","Thu",-0.0659574468085106
"181","30025","Tue",-0.0375782881002088
"182","30025","Wed",-0.119305856832972
"183","30026","Fri",-0.197247706422018
"184","30026","Mon",-0.0898345153664303
"185","30026","Sat",-0.0188679245283019
"186","30026","Sun",0.0730593607305936
"187","30026","Thu",-0.00898876404494382
"188","30026","Tue",-0.017353579175705
"189","30026","Wed",-0.106290672451193
"190","30027","Fri",-0.163972286374134
"191","30027","Mon",-0.108167770419426
"192","30027","Sat",-0.0841836734693878
"193","30027","Sun",-0.0686274509803922
"194","30027","Thu",-0.159737417943107
"195","30027","Tue",-0.176733780760626
"196","30027","Wed",-0.273684210526316
"197","30028","Fri",-0.0121580547112462
"198","30028","Mon",0.00636942675159236
"199","30028","Sat",0.201612903225806
"200","30028","Sun",0.148698884758364
"201","30028","Thu",-0.149717514124294
"202","30028","Tue",-0.101796407185629
"203","30028","Wed",-0.16374269005848
"204","30029","Fri",0.145669291338583
"205","30029","Mon",0.456967213114754
"206","30029","Sat",-0.0271739130434783
"207","30029","Sun",0.104790419161677
"208","30029","Thu",0.473790322580645
"209","30029","Tue",0.429141716566866
"210","30029","Wed",0.530451866404715
"211","30030","Fri",0.129464285714286
"212","30030","Mon",0.0118764845605701
"213","30030","Sat",0.0492957746478873
"214","30030","Sun",0.152061855670103
"215","30030","Thu",0.0418604651162791
"216","30030","Tue",-0.156818181818182
"217","30030","Wed",0.0201342281879195
"218","30031","Fri",-0.00526315789473684
"219","30031","Mon",0.143631436314363
"220","30031","Sat",0.134529147982063
"221","30031","Sun",0.0833333333333333
"222","30031","Thu",0.0703517587939698
"223","30031","Tue",0.178117048346056
"224","30031","Wed",0.132832080200501
"225","30032","Fri",0.0340909090909091
"226","30032","Mon",-0.0350467289719626
"227","30032","Sat",-0.201058201058201
"228","30032","Sun",-0.012012012012012
"229","30032","Thu",0.0566448801742919
"230","30032","Tue",0.0464601769911504
"231","30032","Wed",0.00434782608695652
"232","30033","Fri",-0.0480769230769231
"233","30033","Mon",-0.107142857142857
"234","30033","Sat",0
"235","30033","Sun",0.105590062111801
"236","30033","Thu",-0.176136363636364
"237","30033","Tue",-0.195348837209302
"238","30033","Wed",-0.053921568627451
"239","30034","Fri",-0.044392523364486
"240","30034","Mon",-0.15632183908046
"241","30034","Sat",-0.147798742138365
"242","30034","Sun",-0.13109756097561
"243","30034","Thu",-0.13317191283293
"244","30034","Tue",-0.193396226415094
"245","30034","Wed",-0.240825688073394
"246","30035","Fri",-0.111475409836066
"247","30035","Mon",0.00333333333333333
"248","30035","Sat",-0.122448979591837
"249","30035","Sun",0.0158227848101266
"250","30035","Thu",-0.0374149659863946
"251","30035","Tue",0.0945945945945946
"252","30035","Wed",-0.0830449826989619
"253","30036","Fri",0.199346405228758
"254","30036","Mon",0.249146757679181
"255","30036","Sat",0.119230769230769
"256","30036","Sun",0.341666666666667
"257","30036","Thu",0.174050632911392
"258","30036","Tue",0.142394822006472
"259","30036","Wed",0.175
"260","30037","Fri",0.212418300653595
"261","30037","Mon",0.0792079207920792
"262","30037","Sat",0.0184331797235023
"263","30037","Sun",-0.0729166666666667
"264","30037","Thu",0.0383386581469649
"265","30037","Tue",0.116438356164384
"266","30037","Wed",0.0586319218241042
"267","30038","Fri",0.105527638190955
"268","30038","Mon",0.100591715976331
"269","30038","Sat",-0.0211267605633803
"270","30038","Sun",0.0186915887850467
"271","30038","Thu",0.0823529411764706
"272","30038","Tue",0.0110497237569061
"273","30038","Wed",0.0867052023121387
"274","30039","Fri",0.0051413881748072
"275","30039","Mon",-0.0666666666666667
"276","30039","Sat",-0.023598820058997
"277","30039","Sun",0.0504731861198738
"278","30039","Thu",0.0190735694822888
"279","30039","Tue",-0.0891891891891892
"280","30039","Wed",-0.0227848101265823
"281","30040","Fri",-0.149746192893401
"282","30040","Mon",-0.275568181818182
"283","30040","Sat",0.016
"284","30040","Sun",0.0191256830601093
"285","30040","Thu",-0.274787535410765
"286","30040","Tue",-0.135294117647059
"287","30040","Wed",-0.128415300546448
"288","30041","Fri",0.091304347826087
"289","30041","Mon",0.0198412698412698
"290","30041","Sat",-0.0166666666666667
"291","30041","Sun",-0.00549450549450549
"292","30041","Thu",0.0532786885245902
"293","30041","Tue",0.0562770562770563
"294","30041","Wed",0.168103448275862
"295","30042","Fri",0.158301158301158
"296","30042","Mon",0.23454157782516
"297","30042","Sat",0.08
"298","30042","Sun",0.262773722627737
"299","30042","Thu",0.0561122244488978
"300","30042","Tue",0.300813008130081
"301","30042","Wed",0.161087866108787
"302","30043","Fri",-0.199335548172757
"303","30043","Mon",-0.126865671641791
"304","30043","Sat",0.144171779141104
"305","30043","Sun",-0.142061281337047
"306","30043","Thu",-0.166064981949458
"307","30043","Tue",-0.182926829268293
"308","30043","Wed",-0.183908045977011
"309","30044","Fri",0.158301158301158
"310","30044","Mon",-0.104693140794224
"311","30044","Sat",-0.176470588235294
"312","30044","Sun",0.189759036144578
"313","30044","Thu",-0.0588235294117647
"314","30044","Tue",0.0661157024793388
"315","30044","Wed",-0.109649122807018
"316","30045","Fri",-0.140243902439024
"317","30045","Mon",-0.241721854304636
"318","30045","Sat",0.0133779264214047
"319","30045","Sun",-0.027681660899654
"320","30045","Thu",-0.148367952522255
"321","30045","Tue",-0.0438871473354232
"322","30045","Wed",-0.127725856697819
"323","30046","Fri",0.249283667621777
"324","30046","Mon",0.148036253776435
"325","30046","Sat",0.0806916426512968
"326","30046","Sun",0.2508038585209
"327","30046","Thu",0.0192307692307692
"328","30046","Tue",0.249221183800623
"329","30046","Wed",0.164265129682997
"330","30047","Fri",-0.0377358490566038
"331","30047","Mon",-0.0866141732283465
"332","30047","Sat",-0.00669642857142857
"333","30047","Sun",0.132867132867133
"334","30047","Thu",-0.135204081632653
"335","30047","Tue",-0.123711340206186
"336","30047","Wed",-0.0685279187817259
"337","30048","Fri",-0.0457142857142857
"338","30048","Mon",-0.075
"339","30048","Sat",0.11878453038674
"340","30048","Sun",-0.0165289256198347
"341","30048","Thu",-0.0664652567975831
"342","30048","Tue",-0.117283950617284
"343","30048","Wed",-0.0279503105590062
"344","30049","Fri",-0.161290322580645
"345","30049","Mon",-0.358208955223881
"346","30049","Sat",0.00970873786407767
"347","30049","Sun",-0.101851851851852
"348","30049","Thu",-0.328571428571429
"349","30049","Tue",-0.231884057971014
"350","30049","Wed",-0.278481012658228
"351","30050","Fri",-0.0695067264573991
"352","30050","Mon",0.0329113924050633
"353","30050","Sat",0.306709265175719
"354","30050","Sun",0.0804953560371517
"355","30050","Thu",-0.0495495495495495
