"","Stationnumber","weekday","hour","Rideoutminusin"
"147","30000","Wed",12,-0.0416666666666667
"148","30000","Wed",13,0.0869565217391304
"149","30000","Wed",14,-0.208333333333333
"150","30000","Wed",15,-0.153846153846154
"151","30000","Wed",16,-1.15
"152","30000","Wed",17,-1.46428571428571
"153","30000","Wed",18,-0.607142857142857
"154","30000","Wed",19,0.434782608695652
"155","30000","Wed",20,1
"156","30000","Wed",21,0.25
"157","30000","Wed",22,0.769230769230769
"158","30000","Wed",23,1.5
"159","30001","Fri",0,-0.333333333333333
"160","30001","Fri",1,-1
"161","30001","Fri",4,-1
"162","30001","Fri",5,1
"163","30001","Fri",6,0.8
"164","30001","Fri",7,1
"165","30001","Fri",8,0.25
"166","30001","Fri",9,0.8
"167","30001","Fri",10,0.25
"168","30001","Fri",11,0.125
"169","30001","Fri",12,0.0769230769230769
"170","30001","Fri",13,0.181818181818182
"171","30001","Fri",14,-0.111111111111111
"172","30001","Fri",15,-0.882352941176471
"173","30001","Fri",16,-0.85
"174","30001","Fri",17,-1
"175","30001","Fri",18,-0.476190476190476
"176","30001","Fri",19,-0.545454545454545
"177","30001","Fri",20,-0.0909090909090909
"178","30001","Fri",21,-0.7
"179","30001","Fri",22,-1.5
"180","30001","Fri",23,-1.66666666666667
"181","30001","Mon",0,-0.666666666666667
"182","30001","Mon",2,-1
"183","30001","Mon",3,1
"184","30001","Mon",4,-1
"185","30001","Mon",5,1
"186","30001","Mon",6,1
"187","30001","Mon",7,0.526315789473684
"188","30001","Mon",8,1.375
"189","30001","Mon",9,0.333333333333333
"190","30001","Mon",10,0.928571428571429
"191","30001","Mon",11,0.538461538461538
"192","30001","Mon",12,0.4
"193","30001","Mon",13,0.7
"194","30001","Mon",14,-0.8
"195","30001","Mon",15,-0.25
"196","30001","Mon",16,-0.789473684210526
"197","30001","Mon",17,-1.375
"198","30001","Mon",18,-1.36842105263158
"199","30001","Mon",19,-0.25
"200","30001","Mon",20,0.1
"201","30001","Mon",21,-0.4
"202","30001","Mon",22,-0.333333333333333
"203","30001","Mon",23,-1.4
"204","30001","Sat",0,0
"205","30001","Sat",1,-0.666666666666667
"206","30001","Sat",4,0
"207","30001","Sat",6,-1
"208","30001","Sat",7,0.333333333333333
"209","30001","Sat",8,0.6
"210","30001","Sat",9,-0.909090909090909
"211","30001","Sat",10,0.545454545454545
"212","30001","Sat",11,0.217391304347826
"213","30001","Sat",12,0.818181818181818
"214","30001","Sat",13,-0.0526315789473684
"215","30001","Sat",14,-0.166666666666667
"216","30001","Sat",15,0.133333333333333
"217","30001","Sat",16,-0.733333333333333
"218","30001","Sat",17,-0.666666666666667
"219","30001","Sat",18,-0.0909090909090909
"220","30001","Sat",19,0.461538461538462
"221","30001","Sat",20,-0.692307692307692
"222","30001","Sat",21,0
"223","30001","Sat",22,0.25
"224","30001","Sat",23,-0.5
"225","30001","Sun",0,0
"226","30001","Sun",1,-1
"227","30001","Sun",2,-1
"228","30001","Sun",3,-2
"229","30001","Sun",4,-2
"230","30001","Sun",6,-1
"231","30001","Sun",7,1.25
"232","30001","Sun",8,0.444444444444444
"233","30001","Sun",9,0.461538461538462
"234","30001","Sun",10,-0.8
"235","30001","Sun",11,0.363636363636364
"236","30001","Sun",12,0.0555555555555556
"237","30001","Sun",13,-0.0454545454545455
