"","Start.station","Rideoutminusin"
"125","Marshall Street NE & Lowry Ave",-0.00246609124537608
"126","Mayo Memorial Building",-0.0642066420664207
"127","MCAD",-0.057935735150925
"128","McNamara Center",-0.16427752293578
"129","Midtown Exchange",0.00855614973262032
"130","Midtown Greenway & 5th Ave S",0.0834868017188459
"131","Midtown YWCA",-0.137981118373275
"132","Minneapolis Farmers Market",-0.0205908683974933
"133","Minneapolis Park & Recreation Board",0.115138592750533
"134","Minnehaha Park",-0.278350515463918
"135","Minnesota Dept. of Transportation",0.174037089871612
"136","Minnesota History Center",0.132969034608379
"137","Mississippi River Blvd & Summit Ave",0.0264367816091954
"138","Mpls Convention Center",0.0277275467148885
"139","N 4th Ave & W River Parkway",-0.112676056338028
"140","N Milton Street & Summit Ave",-0.0249465431218817
"141","N Robert Street & E 10th Street",0.00262123197903014
"142","N Victoria Street & University Ave ",-0.00785340314136126
"143","N Washington Ave & 9th Ave N",-0.209390178089584
"144","Nice Ride World Headquarters",-0.0418604651162791
"145","Nicollet & Franklin",0.0909090909090909
"146","Nicollet Ave & W 37th Street",-0.186757215619694
"147","Nicollet Island",0.0752269779507134
"148","Nicollet Mall & Grant Street",0.0017961383026493
"149","North 2nd Street & 4th Ave N",0.242786069651741
"150","North Mississippi Regional Park",-0.747967479674797
"151","Oak Street Ramp",-0.150611071171819
"152","Pleasant Ave S &  Lake Street",0.0332409972299169
"153","Plymouth Ave N &  N Oliver Ave",0.00348432055749129
"154","Portland Ave & 4th Street S",0.0616216216216216
"155","Portland Ave & Washington Ave",-0.081165452653486
"156","Rice Street & University Ave W",0.219739292364991
"157","Riverside Ave & 23rd Ave S",-0.0110294117647059
"158","S 5th Street & Nicollet Mall",0.139457831325301
"159","S 8th Street & 2nd Ave S",-0.0815647107781939
"160","Sanford Hall",-0.0489089541008277
"161","Schmidt Brewery",-0.0878661087866109
"162","Science Museum of Minnesota",0.103047895500726
"163","SE 3rd Ave & University Ave SE",0.164233576642336
"164","Selby Ave & Virginia Street",0.330175913396482
"165","Shepard Road & Sibley Street",-0.127744510978044
"166","Sherburne Ave & Snelling Ave N",0.116541353383459
