"","Date","MaxTemp.F","MinTemp.F","Prec.In","Snow.In","SnowDepth.In"
"1917",2015-04-01,84,43,"0.26","0.00","0.00"
"1918",2015-04-02,65,34,"0.00","0.00","0.00"
"1919",2015-04-03,43,27,"0.00","0.00","0.00"
"1920",2015-04-04,52,32,"0.00","0.00","0.00"
"1921",2015-04-05,53,36,"0.00","0.00","0.00"
"1922",2015-04-06,43,38,"0.18","0.00","0.00"
"1923",2015-04-07,43,37,"0.01","0.00","0.00"
"1924",2015-04-08,48,37,"T","0.00","0.00"
"1925",2015-04-09,41,33,"0.63","0.10","0.00"
"1926",2015-04-10,56,32,"0.08","0.20","0.00"
"1927",2015-04-11,68,38,"0.00","0.00","0.00"
"1928",2015-04-12,75,51,"0.65","0.00","0.00"
"1929",2015-04-13,64,46,"0.01","0.00","0.00"
"1930",2015-04-14,72,38,"0.00","0.00","0.00"
"1931",2015-04-15,70,45,"0.00","0.00","0.00"
"1932",2015-04-16,73,52,"T","0.00","0.00"
"1933",2015-04-17,75,50,"0.00","0.00","0.00"
"1934",2015-04-18,73,47,"0.07","0.00","0.00"
"1935",2015-04-19,60,45,"0.14","0.00","0.00"
"1936",2015-04-20,45,36,"0.02","0.00","0.00"
"1937",2015-04-21,41,34,"0.03","T","0.00"
"1938",2015-04-22,49,32,"0.00","0.00","0.00"
"1939",2015-04-23,55,29,"0.00","0.00","0.00"
"1940",2015-04-24,52,42,"0.34","0.00","0.00"
"1941",2015-04-25,62,43,"0.00","0.00","0.00"
"1942",2015-04-26,64,36,"0.00","0.00","0.00"
"1943",2015-04-27,69,39,"0.00","0.00","0.00"
"1944",2015-04-28,65,44,"0.00","0.00","0.00"
"1945",2015-04-29,68,44,"0.00","0.00","0.00"
"1946",2015-04-30,68,47,"0.00","0.00","0.00"
"1947",2015-05-01,66,49,"0.01","0.00","0.00"
"1948",2015-05-02,80,52,"0.00","0.00","0.00"
"1949",2015-05-03,83,56,"0.05","0.00","0.00"
"1950",2015-05-04,72,50,"0.00","0.00","0.00"
"1951",2015-05-05,70,51,"0.02","0.00","0.00"
"1952",2015-05-06,77,56,"T","0.00","0.00"
"1953",2015-05-07,76,62,"0.35","0.00","0.00"
"1954",2015-05-08,62,49,"0.02","0.00","0.00"
"1955",2015-05-09,69,44,"0.00","0.00","0.00"
"1956",2015-05-10,60,48,"0.72","0.00","0.00"
"1957",2015-05-11,55,44,"0.07","0.00","0.00"
"1958",2015-05-12,58,39,"0.02","0.00","0.00"
"1959",2015-05-13,67,43,"0.00","0.00","0.00"
"1960",2015-05-14,57,51,"0.34","0.00","0.00"
"1961",2015-05-15,67,53,"0.00","0.00","0.00"
"1962",2015-05-16,76,58,"0.06","0.00","0.00"
"1963",2015-05-17,74,48,"0.08","0.00","0.00"
"1964",2015-05-18,48,40,"T","0.00","0.00"
"1965",2015-05-19,57,37,"T","0.00","0.00"
"1966",2015-05-20,62,41,"0.00","0.00","0.00"
"1967",2015-05-21,74,45,"0.00","0.00","0.00"
"1968",2015-05-22,75,46,"0.00","0.00","0.00"
"1969",2015-05-23,73,51,"T","0.00","0.00"
"1970",2015-05-24,64,58,"0.52","0.00","0.00"
"1971",2015-05-25,73,57,"0.16","0.00","0.00"
"1972",2015-05-26,63,57,"0.59","0.00","0.00"
"1973",2015-05-27,84,55,"T","0.00","0.00"
"1974",2015-05-28,84,62,"0.00","0.00","0.00"
"1975",2015-05-29,72,54,"0.54","0.00","0.00"
"1976",2015-05-30,64,47,"0.00","0.00","0.00"
"1977",2015-05-31,63,44,"0.00","0.00","0.00"
"1978",2015-06-01,69,52,"0.00","0.00","0.00"
"1979",2015-06-02,76,54,"0.00","0.00","0.00"
"1980",2015-06-03,67,62,"0.75","0.00","0.00"
"1981",2015-06-04,75,62,"0.00","0.00","0.00"
"1982",2015-06-05,75,61,"0.00","0.00","0.00"
"1983",2015-06-06,79,59,"0.69","0.00","0.00"
"1984",2015-06-07,83,66,"0.06","0.00","0.00"
"1985",2015-06-08,81,61,"0.00","0.00","0.00"
"1986",2015-06-09,92,63,"0.00","0.00","0.00"
"1987",2015-06-10,79,62,"T","0.00","0.00"
"1988",2015-06-11,67,58,"0.30","0.00","0.00"
"1989",2015-06-12,79,53,"0.00","0.00","0.00"
"1990",2015-06-13,71,60,"0.07","0.00","0.00"
"1991",2015-06-14,85,62,"0.00","0.00","0.00"
"1992",2015-06-15,78,64,"0.00","0.00","0.00"
"1993",2015-06-16,72,55,"T","0.00","0.00"
"1994",2015-06-17,79,60,"0.87","0.00","0.00"
"1995",2015-06-18,79,61,"0.00","0.00","0.00"
"1996",2015-06-19,79,59,"0.00","0.00","0.00"
"1997",2015-06-20,82,63,"0.43","0.00","0.00"
"1998",2015-06-21,86,62,"0.00","0.00","0.00"
"1999",2015-06-22,82,64,"0.95","0.00","0.00"
"2000",2015-06-23,79,60,"0.00","0.00","0.00"
"2001",2015-06-24,78,62,"0.00","0.00","0.00"
"2002",2015-06-25,82,63,"0.00","0.00","0.00"
"2003",2015-06-26,81,63,"0.06","0.00","0.00"
"2004",2015-06-27,83,60,"0.02","0.00","0.00"
"2005",2015-06-28,82,64,"0.09","0.00","0.00"
"2006",2015-06-29,83,65,"0.11","0.00","0.00"
"2007",2015-06-30,77,62,"0.00","0.00","0.00"
"2008",2015-07-01,73,59,"0.00","0.00","0.00"
"2009",2015-07-02,77,56,"0.00","0.00","0.00"
"2010",2015-07-03,80,60,"0.00","0.00","0.00"
"2011",2015-07-04,85,65,"0.00","0.00","0.00"
"2012",2015-07-05,88,66,"0.04","0.00","0.00"
"2013",2015-07-06,76,58,"2.83","0.00","0.00"
"2014",2015-07-07,72,54,"0.00","0.00","0.00"
"2015",2015-07-08,73,57,"0.00","0.00","0.00"
"2016",2015-07-09,81,60,"0.00","0.00","0.00"
"2017",2015-07-10,85,65,"0.00","0.00","0.00"
"2018",2015-07-11,82,67,"0.00","0.00","0.00"
"2019",2015-07-12,89,65,"1.89","0.00","0.00"
"2020",2015-07-13,87,66,"T","0.00","0.00"
"2021",2015-07-14,84,67,"0.00","0.00","0.00"
"2022",2015-07-15,81,63,"0.01","0.00","0.00"
"2023",2015-07-16,72,66,"0.16","0.00","0.00"
"2024",2015-07-17,90,65,"0.62","0.00","0.00"
"2025",2015-07-18,88,68,"0.25","0.00","0.00"
"2026",2015-07-19,84,64,"0.00","0.00","0.00"
"2027",2015-07-20,81,64,"0.00","0.00","0.00"
"2028",2015-07-21,81,61,"0.00","0.00","0.00"
"2029",2015-07-22,82,66,"0.00","0.00","0.00"
"2030",2015-07-23,84,67,"0.00","0.00","0.00"
"2031",2015-07-24,88,68,"0.23","0.00","0.00"
"2032",2015-07-25,86,69,"0.00","0.00","0.00"
"2033",2015-07-26,87,72,"T","0.00","0.00"
"2034",2015-07-27,86,71,"0.00","0.00","0.00"
"2035",2015-07-28,84,70,"1.29","0.00","0.00"
"2036",2015-07-29,82,66,"0.00","0.00","0.00"
"2037",2015-07-30,85,63,"0.00","0.00","0.00"
"2038",2015-07-31,82,65,"0.00","0.00","0.00"
"2039",2015-08-01,86,66,"T","0.00","0.00"
"2040",2015-08-02,84,66,"0.00","0.00","0.00"
"2041",2015-08-03,80,60,"0.00","0.00","0.00"
"2042",2015-08-04,82,58,"0.00","0.00","0.00"
"2043",2015-08-05,82,61,"0.00","0.00","0.00"
"2044",2015-08-06,74,64,"0.24","0.00","0.00"
"2045",2015-08-07,84,69,"0.43","0.00","0.00"
"2046",2015-08-08,80,67,"0.01","0.00","0.00"
"2047",2015-08-09,82,69,"0.06","0.00","0.00"
"2048",2015-08-10,82,66,"0.00","0.00","0.00"
"2049",2015-08-11,82,62,"0.00","0.00","0.00"
"2050",2015-08-12,85,64,"0.00","0.00","0.00"
"2051",2015-08-13,85,71,"0.05","0.00","0.00"
"2052",2015-08-14,94,71,"0.00","0.00","0.00"
"2053",2015-08-15,91,73,"0.00","0.00","0.00"
"2054",2015-08-16,82,69,"0.51","0.00","0.00"
"2055",2015-08-17,74,63,"0.08","0.00","0.00"
"2056",2015-08-18,67,63,"0.92","0.00","0.00"
"2057",2015-08-19,65,56,"0.10","0.00","0.00"
"2058",2015-08-20,74,53,"0.00","0.00","0.00"
"2059",2015-08-21,81,59,"0.00","0.00","0.00"
"2060",2015-08-22,82,63,"0.59","0.00","0.00"
"2061",2015-08-23,70,57,"T","0.00","0.00"
"2062",2015-08-24,67,54,"0.00","0.00","0.00"
"2063",2015-08-25,74,53,"0.00","0.00","0.00"
"2064",2015-08-26,75,51,"0.00","0.00","0.00"
"2065",2015-08-27,76,59,"0.00","0.00","0.00"
"2066",2015-08-28,76,59,"T","0.00","0.00"
"2067",2015-08-29,74,56,"0.00","0.00","0.00"
"2068",2015-08-30,81,62,"0.00","0.00","0.00"
"2069",2015-08-31,86,63,"0.00","0.00","0.00"
"2070",2015-09-01,86,69,"0.00","0.00","0.00"
"2071",2015-09-02,78,69,"0.23","0.00","0.00"
"2072",2015-09-03,84,67,"0.00","0.00","0.00"
"2073",2015-09-04,89,71,"0.00","0.00","0.00"
"2074",2015-09-05,89,75,"0.01","0.00","0.00"
"2075",2015-09-06,83,70,"0.73","0.00","0.00"
"2076",2015-09-07,82,67,"T","0.00","0.00"
"2077",2015-09-08,78,60,"0.13","0.00","0.00"
"2078",2015-09-09,71,56,"0.28","0.00","0.00"
"2079",2015-09-10,71,54,"0.02","0.00","0.00"
"2080",2015-09-11,64,48,"0.00","0.00","0.00"
"2081",2015-09-12,69,47,"0.00","0.00","0.00"
"2082",2015-09-13,75,52,"0.00","0.00","0.00"
"2083",2015-09-14,83,58,"0.01","0.00","0.00"
"2084",2015-09-15,87,66,"T","0.00","0.00"
"2085",2015-09-16,84,65,"0.08","0.00","0.00"
"2086",2015-09-17,78,60,"2.37","0.00","0.00"
"2087",2015-09-18,61,53,"0.37","0.00","0.00"
"2088",2015-09-19,69,48,"0.00","0.00","0.00"
"2089",2015-09-20,72,50,"0.11","0.00","0.00"
"2090",2015-09-21,81,55,"0.00","0.00","0.00"
"2091",2015-09-22,74,64,"T","0.00","0.00"
"2092",2015-09-23,76,62,"0.06","0.00","0.00"
"2093",2015-09-24,67,64,"0.25","0.00","0.00"
"2094",2015-09-25,78,61,"0.00","0.00","0.00"
"2095",2015-09-26,78,58,"0.00","0.00","0.00"
"2096",2015-09-27,82,59,"0.00","0.00","0.00"
"2097",2015-09-28,77,61,"T","0.00","0.00"
"2098",2015-09-29,63,48,"0.00","0.00","0.00"
"2099",2015-09-30,63,43,"0.00","0.00","0.00"
"2100",2015-10-01,63,45,"0.00","0.00","0.00"
"2101",2015-10-02,62,41,"0.00","0.00","0.00"
"2102",2015-10-03,60,42,"0.00","0.00","0.00"
"2103",2015-10-04,58,42,"0.00","0.00","0.00"
"2104",2015-10-05,62,45,"0.00","0.00","0.00"
"2105",2015-10-06,69,52,"0.00","0.00","0.00"
"2106",2015-10-07,63,43,"T","0.00","0.00"
"2107",2015-10-08,66,52,"0.33","0.00","0.00"
"2108",2015-10-09,56,43,"0.00","0.00","0.00"
"2109",2015-10-10,74,42,"0.00","0.00","0.00"
"2110",2015-10-11,85,58,"0.00","0.00","0.00"
"2111",2015-10-12,66,46,"T","0.00","0.00"
"2112",2015-10-13,60,43,"0.00","0.00","0.00"
"2113",2015-10-14,68,39,"0.00","0.00","0.00"
"2114",2015-10-15,61,42,"0.00","0.00","0.00"
"2115",2015-10-16,48,33,"0.00","0.00","0.00"
"2116",2015-10-17,56,31,"0.00","0.00","0.00"
"2117",2015-10-18,63,35,"0.00","0.00","0.00"
"2118",2015-10-19,76,51,"T","0.00","0.00"
"2119",2015-10-20,69,50,"T","0.00","0.00"
"2120",2015-10-21,63,44,"T","0.00","0.00"
"2121",2015-10-22,63,40,"0.00","0.00","0.00"
"2122",2015-10-23,54,49,"0.94","0.00","0.00"
"2123",2015-10-24,57,42,"0.24","0.00","0.00"
"2124",2015-10-25,56,38,"0.01","0.00","0.00"
"2125",2015-10-26,59,48,"0.01","0.00","0.00"
"2126",2015-10-27,55,47,"0.35","0.00","0.00"
"2127",2015-10-28,47,34,"0.38","T","0.00"
"2128",2015-10-29,49,35,"0.01","T","0.00"
"2129",2015-10-30,53,40,"0.01","0.00","0.00"
"2130",2015-10-31,51,44,"0.33","0.00","0.00"
"2131",2015-11-01,56,40,"0.00","0.00","0.00"
